,label,title,subtitle,num_colors,price,reduced_price,url,description,colors,n_reviews,avg_stars
1033,Launching in SNKRS,Nike Zoom Vomero 5,Women's Shoes,2 Colors,$160,,https://www.nike.com/launch/r/FB8825-111,,,,
1034,,Jordan 4 Retro,Baby/Toddler Shoes,1 Color,$70,,https://www.nike.com/t/jordan-4-retro-baby-toddler-shoes-KvnRwD/BQ7670-061,"Fly just like MJ. The Jordan 4 Retro for babies and toddlers has all the unmistakable identity of MJ's famous 4th game shoe, but in a design fully tuned for growing feet.",Shown: Dark Grey/Black/Cement Grey/Infrared 23,130.0,4.8
1035,,"Nike SFB Gen 2 8"" Leather",Tactical Boot,1 Color,$140,,https://www.nike.com/t/sfb-gen-2-8-leather-ERTBqbmb/922471-900,"DA PAM 670-1 compliant, the Nike SFB Gen 2 8” Leather is a lightweight tactical boot designed for speed and flexibility over rough terrain. Inspired by Nike Free technology, the flexible sole is equipped with an aggressive tread pattern for multi-surface traction and an internal rock shield to help prevent punctures.",Shown: Coyote/Coyote/Coyote,19.0,3.6
1036,,"Nike SFB Jungle 8"" Leather",Tactical Boots,1 Color,$180,,https://www.nike.com/t/sfb-jungle-8-leather-tactical-boots-moTBRrkL/828654-900,"DA PAM670-1 compliant, the Nike SFB Jungle is designed to keep you comfortable in wet conditions with breathable canvas and water-drainage ports in the midsole. The outsole is equipped with an aggressive traction pattern and internal layer that helps protect from punctures and provide multi-surface grip.",Shown: Coyote/Coyote,17.0,3.6
1037,,Nike MD Valiant,Little Kids' Shoes,1 Color,$60,,https://www.nike.com/t/md-valiant-little-kids-shoes-mdMGnj/CN8559-405,"These everyday kicks throw it back by mashing up details from ‘80s running shoes. Plus, the Nike MD Valiant is full of history. They're named after the car that Nike's co-founder sold shoes out of during the early days—the '64 Valiant.",Shown: Marina/Armory Navy/White,67.0,4.4
1038,,Nike Dunk High Retro Premium,Men's Shoes,1 Color,$135,,https://www.nike.com/t/dunk-high-retro-premium-mens-shoes-3bm3dt/DQ8800-200,"Channel vintage hoops style back to the streets. Premium materials like slub canvas underlays bring a classic fall look, while textured leather ages to perfection. Color-popped laces bring some energy to the look. Oh, and the padded, high-top collar lets you take your game anywhere—in comfort.",Shown: Pecan/Worn Blue/Off Noir/Sail,2.0,3.0
1039,,Jordan MA2,Women's Shoes,1 Color,$125,$112.97,https://www.nike.com/t/jordan-ma2-womens-shoes-NTBqKg/CW5992-003,"Shatter the sneaker status quo in the Jordan MA2. Made with a mix of suede, full-grain leather and a variety of textiles, it features unconventional labels, technical micro-graphics and raw foam edges for a balance of new and classic. Easy to get on and off and effortlessly comfortable, the shoe is a stylish symbol of Jordan attitude and innovation.",Shown: Light Bone/Sunset Pulse/Light Arctic Pink/Black,113.0,4.8
1040,,Nike Team Hustle D 10 SE,Big Kids' Basketball Shoes,1 Color,$60,$51.97,https://www.nike.com/t/team-hustle-d-10-se-big-kids-basketball-shoes-VkGFcT/DQ8375-500,"From playtime to getting buckets, the Nike Team Hustle D 10 is a slam dunk for players of all levels. Optimized traction on the sole, secure lacing and a design that’s durable and supportive helps make these kicks a major score no matter if you're shooting hoops or climbing on the playground. This edition features large silver Swoosh logos to remind you to always let your inner light shine bright.",Shown: Barely Grape/Thunder Blue/Vivid Purple/Metallic Silver,0.0,0.0
1041,,Nike Blazer Mid Premium,Women's Shoes,2 Colors,$125,,https://www.nike.com/t/blazer-mid-premium-womens-shoes-lgMh8j/DQ7572-200,Styled for the ‘70s. Loved in the ‘80s. Classic in the ‘90s. Ready for the future. The Nike Blazer Mid gives you a timeless design that’s easy to wear. The era-echoing leather upper and bold branding make it look like you’ve just pulled them from the history books. Go ahead—perfect your outfit.,Photon Dust/Summit White; Vachetta Tan/White/Vachetta Tan,0.0,0.0
1042,,Freak 3,Big Kids' Basketball Shoes,3 Colors,$100,$80,https://www.nike.com/t/freak-3-big-kids-basketball-shoes-SHfs10/DB4158-500,"From quick cuts to Eurosteps, the Freak 3 captures the ultimate speed and mobility of Giannis Antetokounmpo. The 3rd edition of the MVP’s signature shoe gets better with more flexibility and stability for each step on the court. Plus, with a new traction pattern, outsole design and a super secure strap, your inner Freak will be ready to unleash when it’s time to ball.",Action Red/White/Green Bean/Black; Dutch Blue/Ghost/Dynamic Turquoise/Metallic Gold; Grey Fog/Light Green Spark/White/Cave Purple; Cave Purple/Pink Blast/Fierce Purple/Light Lemon Twist,40.0,4.9
